,close,open,high,low,volume
2025-12-15 00:00:00,21500.0,21500.0,21521.015464261494,21478.671744423656,2934
2025-12-15 01:00:00,21512.41785382528,21500.0,21520.142754186923,21473.77764551251,2496
2025-12-15 02:00:00,21511.62593809294,21512.41785382528,21516.20304532294,21491.93108134254,2895
2025-12-15 03:00:00,21533.13569645035,21511.62593809294,21565.65934145683,21504.550228693985,689
2025-12-15 04:00:00,21579.15821609235,21533.13569645035,21589.627834255527,21517.33848552965,1004
2025-12-15 05:00:00,21583.845077370006,21579.15821609235,21594.817272137076,21576.563523540877,1714
2025-12-15 06:00:00,21591.07944131812,21583.845077370006,21606.62794511657,21577.343507079815,2031
2025-12-15 07:00:00,21646.13649539815,21591.07944131812,21664.92523484323,21583.43483519199,1323
2025-12-15 08:00:00,21683.318838849213,21646.13649539815,21710.718314089354,21637.40252173684,1428
2025-12-15 09:00:00,21691.918241238094,21683.318838849213,21704.341749108447,21661.810701110255,1433
2025-12-15 10:00:00,21728.067941263544,21691.918241238094,21733.221026732073,21675.09856176126,1640
2025-12-15 11:00:00,21741.21729106602,21728.067941263544,21766.674433100277,21725.927807140033,633
2025-12-15 12:00:00,21756.348040836783,21741.21729106602,21772.825111705042,21724.138228712032,2605
2025-12-15 13:00:00,21791.091341261916,21756.348040836783,21812.345924236135,21751.243646523806,1184
2025-12-15 14:00:00,21773.746346062024,21791.091341261916,21795.52768835724,21754.570813537088,2720
2025-12-15 15:00:00,21762.767730796975,21773.746346062024,21791.12222344789,21745.76378799421,2352
2025-12-15 16:00:00,21782.369381958266,21762.767730796975,21800.14096763424,21753.2079285696,1314
2025-12-15 17:00:00,21792.072412742305,21782.369381958266,21808.930442319594,21765.024802171876,1672
2025-12-15 18:00:00,21836.16177052108,21792.072412742305,21845.44695917687,21762.14621665315,579
2025-12-15 19:00:00,21850.74273207174,21836.16177052108,21869.533395439033,21830.692198498702,702
2025-12-15 20:00:00,21853.599457474073,21850.74273207174,21873.85188634314,21843.540185433558,1752
2025-12-15 21:00:00,21929.118192751645,21853.599457474073,21950.414869581586,21829.330692842013,2199
2025-12-15 22:00:00,21962.89177443902,21929.118192751645,21971.326315892205,21906.41118371769,1750
2025-12-15 23:00:00,22004.36331571362,21962.89177443902,22022.665563129114,21941.315293159063,2182
2025-12-16 00:00:00,22008.71654482346,22004.36331571362,22038.89088868469,21991.326420641642,2055
2025-12-16 01:00:00,22035.08992083199,22008.71654482346,22044.06003151713,22000.832660260465,2594
2025-12-16 02:00:00,22077.679303884805,22035.08992083199,22086.15282160508,22020.7067345073,1756
2025-12-16 03:00:00,22088.377261064572,22077.679303884805,22106.106476863104,22060.465777490164,2049
2025-12-16 04:00:00,22136.723616758343,22088.377261064572,22158.34108275063,22073.273245929548,1666
2025-12-16 05:00:00,22159.969599009746,22136.723616758343,22186.597871627004,22123.840871424247,1896
2025-12-16 06:00:00,22190.07725889295,22159.969599009746,22226.838612225667,22139.964260227625,970
2025-12-16 07:00:00,22211.40649066024,22190.07725889295,22219.549230208908,22183.64439887744,1535
2025-12-16 08:00:00,22292.895642777665,22211.40649066024,22311.75542209961,22198.194192942847,1853
2025-12-16 09:00:00,22326.394402677855,22292.895642777665,22347.10640663059,22274.109741781078,1467
2025-12-16 10:00:00,22332.29148560674,22326.394402677855,22346.708854305485,22318.168752422403,857
2025-12-16 11:00:00,22383.55495072868,22332.29148560674,22386.436172931193,22320.863605223276,1167
2025-12-16 12:00:00,22381.957294748936,22383.55495072868,22405.40614108327,22365.244544795893,872
2025-12-16 13:00:00,22414.197411846104,22381.957294748936,22419.231501616407,22365.571847342126,1531
2025-12-16 14:00:00,22390.199240048812,22414.197411846104,22432.279950883934,22382.270099538422,1645
2025-12-16 15:00:00,22379.85218275576,22390.199240048812,22406.429040896375,22364.38651300819,1871
2025-12-16 16:00:00,22405.393768525348,22379.85218275576,22411.2500061427,22361.989883872975,589
2025-12-16 17:00:00,22442.146338090664,22405.393768525348,22461.63261430161,22381.729358579945,1039
2025-12-16 18:00:00,22462.311037571042,22442.146338090664,22485.74145398732,22438.16769303432,1368
2025-12-16 19:00:00,22472.81935651757,22462.311037571042,22480.316756198252,22443.190755433374,540
2025-12-16 20:00:00,22476.15079229433,22472.81935651757,22495.26107990163,22453.698975027124,1239
2025-12-16 21:00:00,22447.45802838678,22476.15079229433,22521.972644219568,22427.890904301235,2446
2025-12-16 22:00:00,22435.10672349931,22447.45802838678,22471.542553508225,22412.474709391365,1724
2025-12-16 23:00:00,22426.584990307514,22435.10672349931,22455.317853509758,22414.107144264635,1428
2025-12-17 00:00:00,22453.34341501712,22426.584990307514,22474.415168781066,22417.767592023814,2536
2025-12-17 01:00:00,22459.598906519226,22453.34341501712,22472.704357665305,22442.22632339975,1424
2025-12-17 02:00:00,22410.532975889324,22459.598906519226,22475.253899634317,22377.015707355935,2081
2025-12-17 03:00:00,22411.012356609175,22410.532975889324,22411.07423506844,22390.04289436633,889
2025-12-17 04:00:00,22391.163655517696,22411.012356609175,22413.110629639657,22379.93911044401,2117
2025-12-17 05:00:00,22361.46544856891,22391.163655517696,22414.875260293433,22345.951208416147,755
2025-12-17 06:00:00,22361.485443438072,22361.46544856891,22367.86348521464,22352.18787824299,1208
